Coll. No./Accession ID,Species,Lat,Long,Elev (m),Stem height (m),Stem diameter at base (mm),Stem density (#/0.25m2)
RU2012-001,Miscanthus sinensis,46.58138,141.83638,51,1.3,6,11
RU2012-002,Miscanthus sinensis,46.58138,141.83638,51,1.3,6,11
RU2012-003,Miscanthus sinensis,46.58138,141.83638,51,1.3,6,11
RU2012-004,Miscanthus sinensis,46.58138,141.83638,51,1.3,6,11
RU2012-005,Miscanthus sinensis,46.58138,141.83638,51,1.3,6,11
RU2012-006,Miscanthus sinensis,46.58138,141.83638,51,1.3,6,11
RU2012-007,Miscanthus sinensis,46.58138,141.83638,51,1.3,6,11
RU2012-008,Miscanthus sinensis,46.58138,141.83638,51,1.3,6,11
RU2012-009,Miscanthus sinensis,46.58138,141.83638,51,1.3,6,11
RU2012-010,Miscanthus sinensis,46.58138,141.83638,51,1.3,6,11
RU2012-011,Miscanthus sinensis,46.58138,141.83638,51,1.3,6,11
RU2012-012,Miscanthus sinensis,46.58138,141.83638,51,1.3,6,11
RU2012-013,Miscanthus sinensis,46.58138,141.83638,51,1.3,6,11
RU2012-014,Miscanthus sacchariflorus,43.3619,132.15611,34,1.95,5,5
RU2012-016,Miscanthus sacchariflorus,47.1884,134.3671,92,2.1,3,30
RU2012-017,Miscanthus sacchariflorus,47.18806,134.36676,86,2.37,6,44
RU2012-018,Miscanthus sacchariflorus,47.1878,134.36667,93,2.14,4,29
RU2012-019,Miscanthus sacchariflorus,48.52554,134.93182,34,1.53,2,8
RU2012-020,Miscanthus sacchariflorus,48.52549,134.93112,36,1.52,3,16
RU2012-023,Miscanthus sacchariflorus,48.52222,134.95338,34,2.56,5,46
RU2012-025,Miscanthus sacchariflorus,48.52153,134.95441,33,1.97,4,29
RU2012-027,Miscanthus sacchariflorus,48.5213,134.95441,35,1.89,3,47
RU2012-028,Miscanthus sacchariflorus,48.52137,134.95447,34,2.11,3,26
RU2012-029,Miscanthus sacchariflorus,48.52453,134.95181,37,1.9,3,38
RU2012-030,Miscanthus sacchariflorus,48.52457,134.95171,35,1.43,,17
RU2012-031,Miscanthus sacchariflorus,48.52469,134.95187,33,1.52,3,61
RU2012-034,Miscanthus sacchariflorus,49.06441,136.51799,23,2,4,94
RU2012-035,Miscanthus sacchariflorus,49.06432,136.51791,24,1.79,4,31
RU2012-036,Miscanthus sacchariflorus,49.0646,136.51761,21,1.9,4,56
RU2012-037,Miscanthus sacchariflorus,49.06464,136.51773,23,2.07,4,62
RU2012-038,Miscanthus sacchariflorus,49.06449,136.51756,21,2.1,3,16
RU2012-040,Miscanthus sacchariflorus,49.33109,136.5199,24,1.69,4,39
RU2012-041,Miscanthus sacchariflorus,49.3312,136.52007,20,1.81,3,16
RU2012-042,Miscanthus sacchariflorus,49.33118,136.52017,25,1.82,5,72
RU2012-043,Miscanthus sacchariflorus,49.33128,136.52025,23,1.93,4,19
RU2012-044,Miscanthus sacchariflorus,49.33242,136.52132,24,1.95,3,31
RU2012-045,Miscanthus sacchariflorus,49.33253,136.52118,21,2.28,4,28
RU2012-046,Miscanthus sacchariflorus,49.33235,136.52069,25,1.73,3,27
RU2012-047,Miscanthus sacchariflorus,49.32945,136.51761,24,2.44,4,54
RU2012-048,Miscanthus sacchariflorus,49.3296,136.51714,28,2.27,4,26
RU2012-049,Miscanthus sacchariflorus,49.32977,136.51747,29,1.98,3,28
RU2012-050,Miscanthus sacchariflorus,48.9179,136.22987,26,2.04,4,38
RU2012-052,Miscanthus sacchariflorus,48.91709,136.22711,22,1.48,3,44
RU2012-053,Miscanthus sacchariflorus,48.91669,136.22627,24,1.55,3,84
RU2012-055,Miscanthus sacchariflorus,48.81984,135.94496,53,2.47,5,26
RU2012-056.1WD (4x),Miscanthus sacchariflorus,48.82444,135.94803,51,1.85,4,24
RU2012-056.2 (2x),Miscanthus sacchariflorus,48.82444,135.94803,51,1.85,4,24
RU2012-058,Miscanthus sacchariflorus,48.59634,135.60014,117,1.84,3,33
RU2012-059,Miscanthus sacchariflorus,48.59626,135.59987,116,1.88,3,37
RU2012-060,Miscanthus sacchariflorus,48.59621,135.59979,116,1.88,3,38
RU2012-061,Miscanthus sacchariflorus,48.59611,135.59952,116,1.88,4,58
RU2012-062,Miscanthus sacchariflorus,48.59607,135.59433,117,1.54,3,26
RU2012-064,Miscanthus sacchariflorus,48.46698,135.44012,30,1.5,3,23
RU2012-065,Miscanthus sacchariflorus,48.46713,135.44026,30,1.58,3,32
RU2012-066,Miscanthus sacchariflorus,48.46719,135.44035,30,1.45,3,48
RU2012-067,Miscanthus sacchariflorus,48.46776,135.43935,32,1.84,3,33
RU2012-068,Miscanthus sacchariflorus,48.46773,135.43912,32,2,3,19
RU2012-069,Miscanthus sacchariflorus,48.62491,135.13335,34,1.58,3.5,32
RU2012-070,Miscanthus sacchariflorus,48.62396,135.13426,29,1.94,4,41
RU2012-072,Miscanthus sacchariflorus,48.62404,135.13417,32,1.77,3,25
RU2012-073,Miscanthus sacchariflorus,48.62415,135.13425,28,1.61,3.5,19
RU2012-074,Miscanthus sacchariflorus,48.62651,135.1432,32,1.88,4,66
RU2012-075,Miscanthus sacchariflorus,48.62688,135.14264,30,1.79,4,15
RU2012-076,Miscanthus sacchariflorus,48.52668,134.59024,42,1.94,3,49
RU2012-078,Miscanthus sacchariflorus,48.66663,132.98172,69,1.91,,39
RU2012-079,Miscanthus sacchariflorus,48.66692,132.98165,69,1.97,4,23
RU2012-080,Miscanthus sacchariflorus,48.66696,132.98195,68,2.22,5,20
RU2012-081,Miscanthus sacchariflorus,48.66699,132.98215,69,2.05,5,38
RU2012-082,Miscanthus sacchariflorus,48.58871,133.02688,60,2.2,3,23
RU2012-083,Miscanthus sacchariflorus,48.44911,133.07716,80,1.94,4,34
RU2012-084,Miscanthus sacchariflorus,48.36573,133.13956,47,1.98,4,24
RU2012-085,Miscanthus sacchariflorus,48.36604,133.1382,47,1.79,3,63
RU2012-086,Miscanthus sacchariflorus,48.36613,133.13777,48,1.64,3,45
RU2012-087,Miscanthus sacchariflorus,48.3661,133.13763,49,1.15,2,69
RU2012-088,Miscanthus sacchariflorus,48.36584,133.1384,49,1.7,4,41
RU2012-091,Miscanthus sacchariflorus,48.29384,133.17572,35,2,4,33
RU2012-092,Miscanthus sacchariflorus,48.29395,133.17581,38,2.57,4,83
RU2012-093,Miscanthus sacchariflorus,48.294,133.1758,41,2.16,3,70
RU2012-094,Miscanthus sacchariflorus,48.29412,133.17593,44,2.22,3,59
RU2012-095,Miscanthus sacchariflorus,48.2915,133.17241,45,2.2,3.5,112
RU2012-096,Miscanthus sacchariflorus,48.73666,133.02147,55,2.06,4,82
RU2012-097,Miscanthus sacchariflorus,48.72874,133.07011,70,2.09,4,71
RU2012-098,Miscanthus sacchariflorus,48.70913,133.19144,66,2.28,3,15
RU2012-099,Miscanthus sacchariflorus,48.70922,133.19159,67,2.44,4,23
RU2012-100,Miscanthus sacchariflorus,48.70947,133.1916,66,2.12,3,26
RU2012-101,Miscanthus sacchariflorus,48.70993,133.19168,66,2.3,4,19
RU2012-102,Miscanthus sacchariflorus,48.70965,133.19217,66,2.17,4,25
RU2012-104,Miscanthus sacchariflorus,48.59444,133.63362,49,1.85,2,23
RU2012-105,Miscanthus sacchariflorus,48.59678,133.63899,52,1.91,3,9
RU2012-106,Miscanthus sacchariflorus,48.59703,133.63937,52,1.5,2,14
RU2012-108,Miscanthus sacchariflorus,48.58649,133.93886,43,1.59,3,49
RU2012-109,Miscanthus sacchariflorus,48.58658,133.93906,45,1.65,3,52
RU2012-110,Miscanthus sacchariflorus,48.58725,133.93983,46,2.03,3,43
RU2012-111,Miscanthus sacchariflorus,48.58809,133.94029,47,1.89,2.5,70
RU2012-112,Miscanthus sacchariflorus,48.58787,133.93944,45,1.8,4,23
RU2012-113,Miscanthus sacchariflorus,48.60963,134.21585,44,1.85,3,23
RU2012-114,Miscanthus sacchariflorus,48.6093,134.21509,42,1.95,4,59
RU2012-116,Miscanthus sacchariflorus,48.57198,134.42264,37,1.78,3,23
RU2012-117,Miscanthus sacchariflorus,48.57199,134.42244,44,1.7,4,41
RU2012-118,Miscanthus sacchariflorus,48.57199,134.42296,43,1.94,4,72
RU2012-119,Miscanthus sacchariflorus,48.57183,134.42303,42,2.2,5,27
RU2012-120,Miscanthus sacchariflorus,48.57172,134.423,38,2.14,4,27
RU2012-121,Miscanthus sacchariflorus,48.54032,134.71992,34,1.79,4,55
RU2012-124,Miscanthus sacchariflorus,48.36315,135.07053,67,1.27,2,20
RU2012-125,Miscanthus sacchariflorus,48.36325,135.0705,72,1.31,2,32
RU2012-126,Miscanthus sacchariflorus,48.36336,135.06953,69,1.9,4,35
RU2012-127,Miscanthus sacchariflorus,48.36348,135.06944,69,1.67,4,61
RU2012-128,Miscanthus sacchariflorus,48.36352,135.06966,69,1.55,4,41
RU2012-130,Miscanthus sacchariflorus,47.94617,135.07254,53,2.27,4,35
RU2012-131,Miscanthus sacchariflorus,47.946,135.07274,57,2.06,3,75
RU2012-132,Miscanthus sacchariflorus,47.94595,135.07269,58,2.22,3,54
RU2012-133,Miscanthus sacchariflorus,47.94543,135.07243,58,1.62,3,18
RU2012-135,Miscanthus sacchariflorus,47.89243,135.00781,49,1.77,3,52
RU2012-136,Miscanthus sacchariflorus,47.89221,135.00757,51,1.67,2.5,44
RU2012-137,Miscanthus sacchariflorus,47.89191,135.00688,47,2.09,3,38
RU2012-138,Miscanthus sacchariflorus,47.5072,134.74229,60,1.85,3,47
RU2012-140,Miscanthus sacchariflorus,47.50784,134.74108,70,1.95,4,52
RU2012-141,Miscanthus sacchariflorus,47.50762,134.74113,72,2.01,5,13
RU2012-143,Miscanthus sacchariflorus,47.2151,134.36658,85,2.15,4,25
RU2012-144,Miscanthus sacchariflorus,47.21595,134.36623,90,2.14,5,39
RU2012-145,Miscanthus sacchariflorus,47.21572,134.36598,87,2.24,5,23
RU2012-146,Miscanthus sacchariflorus,47.21442,134.36662,83,2.19,4,33
RU2012-147,Miscanthus sacchariflorus,47.21481,134.36682,83,1.84,5,29
RU2012-149,Miscanthus sacchariflorus,46.86515,134.26962,85,1.78,4,22
RU2012-150,Miscanthus sacchariflorus,46.86553,134.26962,83,2.09,3,42
RU2012-151,Miscanthus sacchariflorus,46.86573,134.26971,87,2.04,5,72
RU2012-152,Miscanthus sacchariflorus,46.86513,134.26986,85,1.47,2,31
RU2012-153,Miscanthus sacchariflorus,46.865,134.26987,86,1.6,3,64
RU2012-154,Miscanthus sacchariflorus,46.42865,134.25366,72,1.97,4,34
RU2012-156,Miscanthus sacchariflorus,46.42876,134.28346,73,1.8,4,42
RU2012-157,Miscanthus sacchariflorus,46.42882,134.25372,74,1.62,3,31
RU2012-158,Miscanthus sacchariflorus,46.42939,134.25443,74,1.75,4,27
RU2012-159,Miscanthus sacchariflorus,46.42645,134.25317,74,1.44,4,24
RU2012-161,Miscanthus sacchariflorus,46.11338,133.93321,79,1.79,5,26
RU2012-162,Miscanthus sacchariflorus,46.11355,133.93243,78,2.11,4,27
RU2012-163,Miscanthus sacchariflorus,46.11362,133.93221,77,1.94,5,35
RU2012-164,Miscanthus sacchariflorus,46.11409,133.93184,78,1.95,4,28
RU2012-165,Miscanthus sacchariflorus,46.11444,133.93196,79,2.17,4,27
RU2012-167,Miscanthus sacchariflorus,45.34602,133.55511,89,2.23,5,55
RU2012-168,Miscanthus sacchariflorus,45.34602,133.55545,88,2.07,5,20
RU2012-169,Miscanthus sacchariflorus,45.34596,133.55589,89,2.42,6,51
RU2012-170,Miscanthus sacchariflorus,45.34675,133.65441,86,2.12,3,32
RU2012-172,Miscanthus sacchariflorus,45.18425,133.45932,118,1.94,3,26
RU2012-173,Miscanthus sacchariflorus,45.18526,133.45869,121,2.1,4,34
RU2012-174,Miscanthus sacchariflorus,45.18544,133.45831,122,1.94,4,28
RU2012-175,Miscanthus sacchariflorus,45.18576,133.45844,120,1.95,4,21
RU2012-177,Miscanthus sacchariflorus,43.97194,132.1884,110,1.69,4,29
RU2012-178,Miscanthus sacchariflorus,43.97172,132.1884,109,1.93,4,52
RU2012-179,Miscanthus sacchariflorus,43.97126,132.18762,113,1.99,4,28
RU2012-181,Miscanthus sacchariflorus,43.75324,132.08055,62,2.56,5,37
RU2012-182,Miscanthus sacchariflorus,43.75277,132.08032,59,2.16,8,47
RU2012-183,Miscanthus sacchariflorus,43.75422,132.0818,74,2.14,4,54
RU2012-184,Miscanthus sacchariflorus,43.75292,132.07988,59,1.95,5,30
RU2012-185,Miscanthus sacchariflorus,43.75315,132.08018,62,2.23,5,28
RU2012-187,Miscanthus sacchariflorus,43.93265,131.88098,50,1.6,4,58
RU2012-188,Miscanthus sacchariflorus,43.93215,131.88126,48,2.24,5,19
RU2012-189,Miscanthus sacchariflorus,43.93143,131.88283,47,1.83,5,24
RU2012-190,Miscanthus sacchariflorus,44.17197,131.70364,136,2.21,5,36
RU2012-193,Miscanthus sacchariflorus,44.43401,131.40192,174,2.32,5,29
RU2012-194,Miscanthus sacchariflorus,44.43468,131.40121,175,2.08,5,52
RU2012-195,Miscanthus sacchariflorus,44.43479,131.40082,176,2.29,4,22
RU2012-196,Miscanthus sacchariflorus,44.43494,131.40137,176,2.07,5,32
RU2012-197,Miscanthus sacchariflorus,44.43462,131.40167,177,2.09,4,27
RU2012-199,Miscanthus sacchariflorus,44.90013,131.59082,135,1.94,3.5,28
RU2012-200,Miscanthus sacchariflorus,44.89875,131.5905,137,1.94,3.5,55
RU2012-201,Miscanthus sacchariflorus,44.89843,131.58983,139,1.92,4,37
RU2012-202,Miscanthus sacchariflorus,44.89891,131.59099,139,1.62,4,61
RU2012-203,Miscanthus sacchariflorus,44.90185,131.59117,140,2.17,3,38
RU2012-205,Miscanthus sacchariflorus,45.19675,131.97615,77,2.48,5,52
RU2012-206,Miscanthus sacchariflorus,45.19693,131.97554,75,2.17,4,54
RU2012-207,Miscanthus sacchariflorus,45.19656,131.97572,75,2.12,4,38
RU2012-208,Miscanthus sacchariflorus,45.19617,131.97623,77,2.47,7,41
RU2012-209,Miscanthus sacchariflorus,45.19508,131.9763,78,2.27,4,29
RU2012-211,Miscanthus sacchariflorus,44.69672,131.97116,80,2.48,6,26
RU2012-212,Miscanthus sacchariflorus,44.69731,131.97177,82,2.4,4,33
RU2012-213,Miscanthus sacchariflorus,44.69729,131.97246,82,2.17,4,48
RU2012-214,Miscanthus sacchariflorus,44.69109,131.95929,113,2.17,5,41
RU2012-215,Miscanthus sacchariflorus,44.69988,131.97716,88,1.98,4,46
RU2012-217,Miscanthus sinensis,43.6459,132.00372,139,1.78,4,
RU2012-218,Miscanthus sinensis,43.64592,132.00374,139,1.83,4,
RU2012-219,Miscanthus sinensis,43.646,132.00366,43.6,1.95,4,
RU2012-221,Miscanthus sinensis,42.97939,131.91655,47,,,
RU2012-501,Miscanthus sinensis,46.58138,141.83638,51,1.3,6,11
RU2012-015,Miscanthus sacchariflorus,43.36557,132.15823,19,1.4,,
RU2012-021,Miscanthus sacchariflorus,47.18806,134.3666,86,,,
RU2012-022,Miscanthus sacchariflorus,48.52549,134.93112,36,,,
RU2012-024,Miscanthus sacchariflorus,48.52222,134.95338,34,2.56,5,46
RU2012-026,Miscanthus sacchariflorus,48.52153,134.95441,33,1.97,4,29
RU2012-032,Miscanthus sacchariflorus,48.52453,134.95181,34,,,
RU2012-033,Miscanthus sacchariflorus,49.06441,136.51799,23,,,
RU2012-039,Miscanthus sacchariflorus,49.33101,136.5199,24,,,39
RU2012-051,Miscanthus sacchariflorus,48.9179,136.22987,26,2.04,4,38
RU2012-054,Miscanthus sacchariflorus,48.82444,135.94803,51,1.85,4,24
RU2012-057,Miscanthus sacchariflorus,48.59634,135.60014,117,1.84,3,33
RU2012-063,Miscanthus sacchariflorus,48.46698,135.44012,30,1.5,3,23
RU2012-071,Miscanthus sacchariflorus,48.62396,135.13426,29,1.94,4,41
RU2012-077,Miscanthus sacchariflorus,48.66663,132.98172,69,1.91,,39
RU2012-089,Miscanthus sacchariflorus,48.36573,133.13956,47,1.98,4,24
RU2012-090,Miscanthus sacchariflorus,48.29384,133.17572,35,2,4,33
RU2012-103,Miscanthus sacchariflorus,48.70913,133.19144,66,2.28,3,15
RU2012-107,Miscanthus sacchariflorus,48.58649,133.93886,43,1.59,3,49
RU2012-115,Miscanthus sacchariflorus,48.57198,134.42264,37,1.78,3,23
RU2012-122,Miscanthus sacchariflorus,48.54032,134.71992,34,1.79,4,55
RU2012-123,Miscanthus sacchariflorus,48.36315,135.07053,67,1.27,2,20
RU2012-129,Miscanthus sacchariflorus,47.94617,135.07254,53,2.27,4,35
RU2012-134,Miscanthus sacchariflorus,47.89243,135.00781,49,1.77,3,52
RU2012-139,Miscanthus sacchariflorus,47.5072,134.74229,60,1.85,3,47
RU2012-142,Miscanthus sacchariflorus,47.2151,134.36658,85,2.15,4,25
RU2012-148,Miscanthus sacchariflorus,46.86515,134.26962,85,1.78,4,22
RU2012-155,Miscanthus sacchariflorus,46.42865,134.25366,72,1.97,4,34
RU2012-160,Miscanthus sacchariflorus,46.11338,133.93321,79,1.79,5,26
RU2012-166,Miscanthus sacchariflorus,45.34607,133.55511,89,2.23,5,44
RU2012-171,Miscanthus sacchariflorus,45.18425,133.45932,118,1.94,3,26
RU2012-176,Miscanthus sacchariflorus,43.97194,132.1884,110,1.69,4,29
RU2012-180,Miscanthus sacchariflorus,43.75324,132.08055,62,2.56,5,37
RU2012-186,Miscanthus sacchariflorus,43.93265,131.88098,50,1.6,4,58
RU2012-191,Miscanthus sacchariflorus,44.17197,131.70364,136,2.21,5,36
RU2012-192,Miscanthus sacchariflorus,44.43401,131.40192,174,2.32,5,29
RU2012-198,Miscanthus sacchariflorus,44.90013,131.59082,135,1.94,3.5,28
RU2012-204,Miscanthus sacchariflorus,45.19675,131.97615,77,2.48,5,52
RU2012-210,Miscanthus sacchariflorus,44.69672,131.97116,80,2.48,6,26
RU2012-216,Miscanthus sinensis,43.6459,132.00372,139,1.78,4,
RU2012-220,Miscanthus sinensis,42.96971,131.90176,73,1.25,,
